epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.856,1.46889,2.81786,1.65578,0.17164,0.43473,0.21376,0.13232,1.69278,14.9735,2.1916,0.000474556,0.000474556,0.000474556
2,249.751,1.62009,2.38764,1.80992,0.38276,0.41906,0.32359,0.20951,1.55067,5.34803,1.96813,0.000932062,0.000932062,0.000932062
3,373.985,1.56583,2.23854,1.76391,0.39935,0.41695,0.38076,0.25093,1.61714,2.62794,1.97784,0.0013707,0.0013707,0.0013707
4,499.078,1.50855,2.07481,1.71985,0.55817,0.22351,0.29856,0.17833,1.66082,3.78932,1.96904,0.00134412,0.00134412,0.00134412
5,620.974,1.4474,1.97972,1.66224,0.71651,0.49244,0.59485,0.39487,1.42355,1.90317,1.78058,0.00131582,0.00131582,0.00131582
6,748.842,1.40649,1.82235,1.62932,0.62871,0.47148,0.53326,0.3374,1.51284,1.80721,1.84816,0.00128753,0.00128753,0.00128753
7,869.978,1.38497,1.77462,1.61354,0.71291,0.59772,0.64911,0.44164,1.31355,1.62955,1.6571,0.00125923,0.00125923,0.00125923
8,994.973,1.31362,1.65584,1.56768,0.69516,0.62708,0.67939,0.46694,1.26209,1.46618,1.6279,0.00123094,0.00123094,0.00123094
9,1121.7,1.31189,1.6567,1.55878,0.76737,0.62668,0.70959,0.49461,1.23139,1.41674,1.60541,0.00120265,0.00120265,0.00120265
10,1249.02,1.28699,1.52809,1.53478,0.77562,0.69196,0.74386,0.52243,1.20512,1.30774,1.57709,0.00117435,0.00117435,0.00117435
11,1376.46,1.23629,1.47608,1.50362,0.73065,0.71271,0.76968,0.54581,1.16534,1.26928,1.56238,0.00114606,0.00114606,0.00114606
12,1503.1,1.22273,1.42656,1.49191,0.74314,0.72542,0.76978,0.5481,1.1925,1.24023,1.58293,0.00111776,0.00111776,0.00111776
